Provider,inpatient_claim_count,inpatient_total_reimbursement,inpatient_avg_reimbursement,inpatient_unique_beneficiaries,outpatient_claim_count,outpatient_total_reimbursement,outpatient_avg_reimbursement,outpatient_unique_beneficiaries,avg_bene_chronic_count,max_bene_chronic_count,avg_bene_age,death_rate,bene_count,n_unique_diag_codes,n_unique_proc_codes,total_claim_count,ip_claim_ratio,avg_reimbursement_overall,Fraud
PRV51001,5.0,97000.0,19400.0,5.0,20.0,7640.0,382.0,19.0,16.458333333333332,21,78.125,0.0,24,72.0,3.0,25.0,0.2,4185.6,0
PRV51003,62.0,573000.0,9241.935483870968,53.0,70.0,32670.0,466.7142857142857,66.0,17.632478632478634,22,68.95726495726495,0.008547008547008548,117,365.0,39.0,132.0,0.4696969696969697,4588.409090909091,1
PRV51004,0.0,0.0,0.0,0.0,149.0,52170.0,350.13422818791946,138.0,17.681159420289855,22,72.48550724637681,0.007246376811594203,138,267.0,0.0,149.0,0.0,350.13422818791946,0
PRV51005,0.0,0.0,0.0,0.0,1165.0,280910.0,241.1244635193133,495.0,18.115151515151513,22,69.98787878787878,0.006060606060606061,495,1294.0,0.0,1165.0,0.0,241.1244635193133,1
PRV51007,3.0,19000.0,6333.333333333333,3.0,69.0,14710.0,213.18840579710144,56.0,18.120689655172413,22,67.98275862068965,0.017241379310344827,58,165.0,1.0,72.0,0.041666666666666664,468.19444444444446,0
PRV51008,2.0,25000.0,12500.0,2.0,41.0,10630.0,259.2682926829268,34.0,17.916666666666668,22,74.66666666666667,0.0,36,98.0,2.0,43.0,0.046511627906976744,828.6046511627907,0
PRV51011,1.0,5000.0,5000.0,1.0,57.0,11630.0,204.03508771929825,52.0,17.471698113207548,22,73.16981132075472,0.018867924528301886,53,120.0,0.0,58.0,0.017241379310344827,286.7241379310345,0
PRV51012,0.0,0.0,0.0,0.0,48.0,16890.0,351.875,31.0,17.612903225806452,22,75.54838709677419,0.0,31,105.0,0.0,48.0,0.0,351.875,0
PRV51013,0.0,0.0,0.0,0.0,46.0,14880.0,323.4782608695652,44.0,17.613636363636363,22,74.0909090909091,0.0,44,103.0,0.0,46.0,0.0,323.4782608695652,0
PRV51014,0.0,0.0,0.0,0.0,30.0,10480.0,349.3333333333333,25.0,18.0,22,71.84,0.04,25,93.0,0.0,30.0,0.0,349.3333333333333,0
PRV51015,0.0,0.0,0.0,0.0,8.0,700.0,87.5,7.0,15.428571428571429,20,71.85714285714286,0.0,7,22.0,0.0,8.0,0.0,87.5,0
PRV51016,0.0,0.0,0.0,0.0,6.0,170.0,28.333333333333332,6.0,16.5,18,70.5,0.0,6,21.0,0.0,6.0,0.0,28.333333333333332,0
PRV51017,0.0,0.0,0.0,0.0,515.0,142720.0,277.126213592233,420.0,17.752380952380953,22,72.27142857142857,0.011904761904761904,420,723.0,2.0,515.0,0.0,277.126213592233,0
PRV51021,29.0,269000.0,9275.862068965518,23.0,228.0,79830.0,350.13157894736844,187.0,17.53846153846154,22,73.27403846153847,0.004807692307692308,208,520.0,18.0,257.0,0.11284046692607004,1357.3151750972763,1
PRV51023,9.0,54000.0,6000.0,9.0,27.0,11610.0,430.0,27.0,17.571428571428573,22,72.34285714285714,0.0,35,130.0,5.0,36.0,0.25,1822.5,0
